Accepted_binomial,Annual_Mean_Temp_1,AnnualPrecipitation_1
Athyrium arcuatum ,123,1873
Athyrium arcuatum ,135,1895
Athyrium arcuatum ,209,1514
Athyrium arcuatum ,193,1261
Athyrium arcuatum ,156,1666
Athyrium arcuatum ,147,1989
Athyrium arcuatum ,112,1984
Athyrium arcuatum ,112,1984
Athyrium arcuatum ,98,2175
Athyrium arcuatum ,98,2175
Athyrium arcuatum ,106,2119
Athyrium arcuatum ,112,1984
Athyrium arcuatum ,115,2249
Athyrium arcuatum ,139,2057
Athyrium arcuatum ,219,1283
Athyrium filix-femina var asplenioides ,30,365
Athyrium filix-femina var asplenioides ,99,484
Athyrium filix-femina var asplenioides ,137,537
Athyrium filix-femina var asplenioides ,186,876
Athyrium filix-femina var asplenioides ,149,1058
Athyrium filix-femina var asplenioides ,189,995
Athyrium filix-femina var asplenioides ,160,1097
Athyrium filix-femina var asplenioides ,182,1240
Athyrium filix-femina var asplenioides ,136,1026
Athyrium filix-femina var asplenioides ,125,1642
Athyrium filix-femina var asplenioides ,166,1237
Athyrium filix-femina var asplenioides ,187,1352
Athyrium filix-femina var asplenioides ,189,1282
Athyrium filix-femina var asplenioides ,135,957
Athyrium filix-femina var asplenioides ,166,1291
Athyrium filix-femina var asplenioides ,180,1295
Athyrium filix-femina var asplenioides ,185,1393
Athyrium filix-femina var asplenioides ,185,1380
Athyrium filix-femina var asplenioides ,185,1423
Athyrium filix-femina var asplenioides ,186,1324
Athyrium filix-femina var asplenioides ,185,1390
Athyrium filix-femina var asplenioides ,184,1436
Athyrium filix-femina var asplenioides ,192,1377
Athyrium filix-femina var asplenioides ,192,1544
Athyrium filix-femina var asplenioides ,192,1344
Athyrium filix-femina var asplenioides ,192,1344
Athyrium filix-femina var asplenioides ,130,1026
Athyrium filix-femina var asplenioides ,131,1087
Athyrium filix-femina var asplenioides ,138,1209
Athyrium filix-femina var asplenioides ,139,1241
Athyrium filix-femina var asplenioides ,142,1101
Athyrium filix-femina var asplenioides ,192,1566
Athyrium filix-femina var asplenioides ,44,885
Athyrium filix-femina var asplenioides ,132,1012
Athyrium filix-femina var asplenioides ,133,890
Athyrium filix-femina var asplenioides ,133,1056
Athyrium filix-femina var asplenioides ,138,1113
Athyrium filix-femina var asplenioides ,145,1030
Athyrium filix-femina var asplenioides ,128,1110
Athyrium filix-femina var asplenioides ,132,1152
Athyrium filix-femina var asplenioides ,132,1293
Athyrium filix-femina var asplenioides ,134,1101
Athyrium filix-femina var asplenioides ,134,1110
Athyrium filix-femina var asplenioides ,131,1180
Athyrium filix-femina var asplenioides ,139,1163
Athyrium filix-femina var asplenioides ,131,1092
Athyrium filix-femina var asplenioides ,137,1179
Athyrium filix-femina var asplenioides ,146,1096
Athyrium filix-femina var asplenioides ,140,1268
Athyrium filix-femina var asplenioides ,149,1164
Athyrium filix-femina var asplenioides ,151,1168
Athyrium filix-femina var asplenioides ,149,1080
Athyrium filix-femina var asplenioides ,154,1219
Athyrium filix-femina var asplenioides ,176,1419
Athyrium filix-femina var asplenioides ,176,1419
Athyrium filix-femina var asplenioides ,176,1419
Athyrium filix-femina var asplenioides ,176,1419
Athyrium filix-femina var asplenioides ,198,1618
Athyrium filix-femina var asplenioides ,207,1583
Athyrium filix-femina var asplenioides ,146,1303
Athyrium filix-femina var asplenioides ,149,1456
Athyrium filix-femina var asplenioides ,151,1146
Athyrium filix-femina var asplenioides ,179,1463
Athyrium filix-femina var asplenioides ,195,1528
Athyrium filix-femina var asplenioides ,149,1166
Athyrium filix-femina var asplenioides ,140,1334
Athyrium filix-femina var asplenioides ,141,1104
Athyrium filix-femina var asplenioides ,151,1368
Athyrium filix-femina var asplenioides ,153,1357
Athyrium filix-femina var asplenioides ,153,1357
Athyrium filix-femina var asplenioides ,176,1353
Athyrium filix-femina var asplenioides ,179,1402
Athyrium filix-femina var asplenioides ,177,1380
Athyrium filix-femina var asplenioides ,195,1574
Athyrium filix-femina var asplenioides ,197,1724
Athyrium filix-femina var asplenioides ,193,1780
Athyrium filix-femina var asplenioides ,135,1029
Athyrium filix-femina var asplenioides ,135,1159
Athyrium filix-femina var asplenioides ,135,1159
Athyrium filix-femina var asplenioides ,148,1392
Athyrium filix-femina var asplenioides ,146,1327
Athyrium filix-femina var asplenioides ,160,1438
Athyrium filix-femina var asplenioides ,153,1620
Athyrium filix-femina var asplenioides ,184,1296
Athyrium filix-femina var asplenioides ,189,1586
Athyrium filix-femina var asplenioides ,53,781
Athyrium filix-femina var asplenioides ,136,1354
Athyrium filix-femina var asplenioides ,164,1458
Athyrium filix-femina var asplenioides ,147,1808
Athyrium filix-femina var asplenioides ,165,1400
Athyrium filix-femina var asplenioides ,165,1400
Athyrium filix-femina var asplenioides ,168,1339
Athyrium filix-femina var asplenioides ,177,1341
Athyrium filix-femina var asplenioides ,148,1283
Athyrium filix-femina var asplenioides ,148,1283
Athyrium filix-femina var asplenioides ,155,1254
Athyrium filix-femina var asplenioides ,148,1722
Athyrium filix-femina var asplenioides ,146,1772
Athyrium filix-femina var asplenioides ,180,1193
Athyrium filix-femina var asplenioides ,130,1328
Athyrium filix-femina var asplenioides ,130,1328
Athyrium filix-femina var asplenioides ,122,1433
Athyrium filix-femina var asplenioides ,108,1680
Athyrium filix-femina var asplenioides ,107,1759
Athyrium filix-femina var asplenioides ,108,1606
Athyrium filix-femina var asplenioides ,107,1666
Athyrium filix-femina var asplenioides ,110,2033
Athyrium filix-femina var asplenioides ,100,2273
Athyrium filix-femina var asplenioides ,120,1583
Athyrium filix-femina var asplenioides ,106,1718
Athyrium filix-femina var asplenioides ,94,2163
Athyrium filix-femina var asplenioides ,82,1850
Athyrium filix-femina var asplenioides ,101,1861
Athyrium filix-femina var asplenioides ,115,1472
Athyrium filix-femina var asplenioides ,103,1786
Athyrium filix-femina var asplenioides ,92,1738
Athyrium filix-femina var asplenioides ,98,1799
Athyrium filix-femina var asplenioides ,98,1799
Athyrium filix-femina var asplenioides ,98,1911
Athyrium filix-femina var asplenioides ,98,1911
Athyrium filix-femina var asplenioides ,98,1911
Athyrium filix-femina var asplenioides ,110,2033
Athyrium filix-femina var asplenioides ,96,1708
Athyrium filix-femina var asplenioides ,115,1995
Athyrium filix-femina var asplenioides ,142,1665
Athyrium filix-femina var asplenioides ,153,1539
Athyrium filix-femina var asplenioides ,153,1539
Athyrium filix-femina var asplenioides ,165,1337
Athyrium filix-femina var asplenioides ,156,1510
Athyrium filix-femina var asplenioides ,96,2577
Athyrium filix-femina var asplenioides ,96,2577
Athyrium filix-femina var asplenioides ,149,1546
Athyrium filix-femina var asplenioides ,149,1546
Athyrium filix-femina var asplenioides ,180,1109
Athyrium filix-femina var asplenioides ,134,1013
Athyrium filix-femina var asplenioides ,114,1274
Athyrium filix-femina var asplenioides ,114,1274
Athyrium filix-femina var asplenioides ,59,1586
Athyrium filix-femina var asplenioides ,59,1586
Athyrium filix-femina var asplenioides ,114,1118
Athyrium filix-femina var asplenioides ,72,2096
Athyrium filix-femina var asplenioides ,98,1526
Athyrium filix-femina var asplenioides ,96,1796
Athyrium filix-femina var asplenioides ,141,1643
Athyrium filix-femina var asplenioides ,135,1740
Athyrium filix-femina var asplenioides ,135,1740
Athyrium filix-femina var asplenioides ,135,1740
Athyrium filix-femina var asplenioides ,135,1740
Athyrium filix-femina var asplenioides ,135,1740
Athyrium filix-femina var asplenioides ,135,1740
Athyrium filix-femina var asplenioides ,123,1515
Athyrium filix-femina var asplenioides ,113,2310
Athyrium filix-femina var asplenioides ,131,1325
Athyrium filix-femina var asplenioides ,131,1325
Athyrium filix-femina var asplenioides ,130,1149
Athyrium filix-femina var asplenioides ,129,1208
Athyrium filix-femina var asplenioides ,142,1553
Athyrium filix-femina var asplenioides ,130,1465
Athyrium filix-femina var asplenioides ,130,1473
Athyrium filix-femina var asplenioides ,55,1880
Athyrium filix-femina var asplenioides ,150,1269
Athyrium filix-femina var asplenioides ,164,1278
Athyrium filix-femina var asplenioides ,170,1108
Athyrium filix-femina var asplenioides ,170,1126
Athyrium filix-femina var asplenioides ,170,1121
Athyrium filix-femina var asplenioides ,162,1168
Athyrium filix-femina var asplenioides ,170,1108
Athyrium filix-femina var asplenioides ,172,1212
Athyrium filix-femina var asplenioides ,190,1230
Athyrium filix-femina var asplenioides ,215,1334
Athyrium filix-femina var asplenioides ,215,1334
Athyrium filix-femina var asplenioides ,215,1334
Athyrium filix-femina var asplenioides ,215,1334
Athyrium filix-femina var asplenioides ,215,1334
Athyrium filix-femina var asplenioides ,98,1266
Athyrium filix-femina var asplenioides ,98,1266
Athyrium filix-femina var asplenioides ,100,1153
Athyrium filix-femina var asplenioides ,100,1153
Athyrium filix-femina var asplenioides ,100,1153
Athyrium filix-femina var asplenioides ,81,1477
Athyrium filix-femina var asplenioides ,87,1317
Athyrium filix-femina var asplenioides ,87,1317
Athyrium filix-femina var asplenioides ,102,1364
Athyrium filix-femina var asplenioides ,87,1667
Athyrium filix-femina var asplenioides ,87,1559
Athyrium filix-femina var asplenioides ,100,1505
Athyrium filix-femina var asplenioides ,87,1449
Athyrium filix-femina var asplenioides ,87,1449
Athyrium filix-femina var asplenioides ,81,1606
Athyrium filix-femina var asplenioides ,81,1606
Athyrium filix-femina var asplenioides ,76,1436
Athyrium filix-femina var asplenioides ,84,1555
Athyrium filix-femina var asplenioides ,84,1555
Athyrium filix-femina var asplenioides ,84,1555
Athyrium filix-femina var asplenioides ,84,1555
Athyrium filix-femina var asplenioides ,84,1555
Athyrium filix-femina var asplenioides ,84,1555
Athyrium filix-femina var asplenioides ,109,1095
Athyrium filix-femina var asplenioides ,87,1520
Athyrium filix-femina var asplenioides ,87,1520
Athyrium filix-femina var asplenioides ,87,1520
Athyrium filix-femina var asplenioides ,133,1115
Athyrium filix-femina var asplenioides ,133,1115
Athyrium filix-femina var asplenioides ,133,1115
Athyrium filix-femina var asplenioides ,114,1049
Athyrium filix-femina var asplenioides ,92,1579
Athyrium filix-femina var asplenioides ,113,1546
Athyrium filix-femina var asplenioides ,160,1193
Athyrium filix-femina var asplenioides ,169,1116
Athyrium filix-femina var asplenioides ,169,1208
Athyrium filix-femina var asplenioides ,172,1128
Athyrium filix-femina var asplenioides ,175,1088
Athyrium filix-femina var asplenioides ,208,1310
Athyrium filix-femina var asplenioides ,84,1300
Athyrium filix-femina var asplenioides ,89,1224
Athyrium filix-femina var asplenioides ,89,1224
Athyrium filix-femina var asplenioides ,112,1348
Athyrium filix-femina var asplenioides ,155,1216
Athyrium filix-femina var asplenioides ,161,1166
Athyrium filix-femina var asplenioides ,171,1183
Athyrium filix-femina var asplenioides ,178,1166
Athyrium filix-femina var asplenioides ,172,1182
Athyrium filix-femina var asplenioides ,172,1181
Athyrium filix-femina var asplenioides ,171,1204
Athyrium filix-femina var asplenioides ,174,1078
Athyrium filix-femina var asplenioides ,174,1078
Athyrium filix-femina var asplenioides ,172,1159
Athyrium filix-femina var asplenioides ,172,1159
Athyrium filix-femina var asplenioides ,173,1241
Athyrium filix-femina var asplenioides ,176,1204
Athyrium filix-femina var asplenioides ,174,1232
Athyrium filix-femina var asplenioides ,180,1209
Athyrium filix-femina var asplenioides ,180,1209
Athyrium filix-femina var asplenioides ,181,1198
Athyrium filix-femina var asplenioides ,174,1198
Athyrium filix-femina var asplenioides ,106,904
Athyrium filix-femina var asplenioides ,106,904
Athyrium filix-femina var asplenioides ,152,1087
Athyrium filix-femina var asplenioides ,151,1145
Athyrium filix-femina var asplenioides ,154,1115
Athyrium filix-femina var asplenioides ,158,1034
Athyrium filix-femina var asplenioides ,155,1381
Athyrium filix-femina var asplenioides ,162,1161
Athyrium filix-femina var asplenioides ,156,1138
Athyrium filix-femina var asplenioides ,159,1143
Athyrium filix-femina var asplenioides ,155,1274
Athyrium filix-femina var asplenioides ,167,1152
Athyrium filix-femina var asplenioides ,158,1068
Athyrium filix-femina var asplenioides ,160,1062
Athyrium filix-femina var asplenioides ,172,1167
Athyrium filix-femina var asplenioides ,192,1377
Athyrium filix-femina var asplenioides ,192,1377
Athyrium filix-femina var asplenioides ,192,1377
Athyrium filix-femina var asplenioides ,121,1200
Athyrium filix-femina var asplenioides ,121,1200
Athyrium filix-femina var asplenioides ,146,1027
Athyrium filix-femina var asplenioides ,154,1157
Athyrium filix-femina var asplenioides ,149,1007
Athyrium filix-femina var asplenioides ,158,1027
Athyrium filix-femina var asplenioides ,168,1151
Athyrium filix-femina var asplenioides ,160,1089
Athyrium filix-femina var asplenioides ,160,1089
Athyrium filix-femina var asplenioides ,160,1089
Athyrium filix-femina var asplenioides ,133,894
Athyrium filix-femina var asplenioides ,124,1250
Athyrium filix-femina var asplenioides ,135,988
Athyrium filix-femina var asplenioides ,134,995
Athyrium filix-femina var asplenioides ,134,1158
Athyrium filix-femina var asplenioides ,134,1158
Athyrium filix-femina var asplenioides ,134,1072
Athyrium filix-femina var asplenioides ,122,1311
Athyrium filix-femina var asplenioides ,133,1033
Athyrium filix-femina var asplenioides ,123,1343
Athyrium filix-femina var asplenioides ,123,1343
Athyrium filix-femina var asplenioides ,132,998
Athyrium filix-femina var asplenioides ,132,998
Athyrium filix-femina var asplenioides ,126,1297
Athyrium filix-femina var asplenioides ,126,1297
Athyrium filix-femina var asplenioides ,126,1297
Athyrium filix-femina var asplenioides ,126,1297
Athyrium filix-femina var asplenioides ,126,1297
Athyrium filix-femina var asplenioides ,126,1297
Athyrium filix-femina var asplenioides ,129,1005
Athyrium filix-femina var asplenioides ,145,936
Athyrium filix-femina var asplenioides ,135,960
Athyrium filix-femina var asplenioides ,135,960
Athyrium filix-femina var asplenioides ,135,960
Athyrium filix-femina var asplenioides ,135,960
Athyrium filix-femina var asplenioides ,137,907
Athyrium filix-femina var asplenioides ,143,902
Athyrium filix-femina var asplenioides ,140,1019
Athyrium filix-femina var asplenioides ,140,1019
Athyrium filix-femina var asplenioides ,140,1019
Athyrium filix-femina var asplenioides ,138,932
Athyrium filix-femina var asplenioides ,143,1113
Athyrium filix-femina var asplenioides ,135,965
Athyrium filix-femina var asplenioides ,135,965
Athyrium filix-femina var asplenioides ,136,970
Athyrium filix-femina var asplenioides ,135,1010
Athyrium filix-femina var asplenioides ,138,965
Athyrium filix-femina var asplenioides ,137,938
Athyrium filix-femina var asplenioides ,138,965
Athyrium filix-femina var asplenioides ,139,979
Athyrium filix-femina var asplenioides ,135,1057
Athyrium filix-femina var asplenioides ,137,934
Athyrium filix-femina var asplenioides ,137,942
Athyrium filix-femina var asplenioides ,136,944
Athyrium filix-femina var asplenioides ,136,944
Athyrium filix-femina var asplenioides ,136,944
Athyrium filix-femina var asplenioides ,136,944
Athyrium filix-femina var asplenioides ,139,920
Athyrium filix-femina var asplenioides ,139,920
Athyrium filix-femina var asplenioides ,141,967
Athyrium filix-femina var asplenioides ,141,967
Athyrium filix-femina var asplenioides ,140,916
Athyrium filix-femina var asplenioides ,136,1012
Athyrium filix-femina var asplenioides ,136,1012
Athyrium filix-femina var asplenioides ,140,1106
Athyrium filix-femina var asplenioides ,140,1106
Athyrium filix-femina var asplenioides ,140,1070
Athyrium filix-femina var asplenioides ,140,1070
Athyrium filix-femina var asplenioides ,127,1255
Athyrium filix-femina var asplenioides ,135,1038
Athyrium filix-femina var asplenioides ,137,1079
Athyrium filix-femina var asplenioides ,141,1079
Athyrium filix-femina var asplenioides ,139,985
Athyrium filix-femina var asplenioides ,139,985
Athyrium filix-femina var asplenioides ,139,986
Athyrium filix-femina var asplenioides ,139,986
Athyrium filix-femina var asplenioides ,136,1175
Athyrium filix-femina var asplenioides ,139,1012
Athyrium filix-femina var asplenioides ,137,1131
Athyrium filix-femina var asplenioides ,138,1135
Athyrium filix-femina var asplenioides ,157,1236
Athyrium filix-femina var asplenioides ,163,1266
Athyrium filix-femina var asplenioides ,163,1274
Athyrium filix-femina var asplenioides ,124,1348
Athyrium filix-femina var asplenioides ,108,1233
Athyrium filix-femina var asplenioides ,101,1035
Athyrium filix-femina var asplenioides ,94,1242
Athyrium filix-femina var asplenioides ,119,1116
Athyrium filix-femina var asplenioides ,108,1233
Athyrium filix-femina var asplenioides ,110,1110
Athyrium filix-femina var asplenioides ,110,1110
Athyrium filix-femina var asplenioides ,110,1110
Athyrium filix-femina var asplenioides ,118,1078
Athyrium filix-femina var asplenioides ,118,1315
Athyrium filix-femina var asplenioides ,82,1029
Athyrium filix-femina var asplenioides ,109,1091
Athyrium filix-femina var asplenioides ,112,1230
Athyrium filix-femina var asplenioides ,105,1405
Athyrium filix-femina var asplenioides ,101,1066
Athyrium filix-femina var asplenioides ,110,1149
Athyrium filix-femina var asplenioides ,104,1252
Athyrium filix-femina var angustum,97,969
Athyrium filix-femina var angustum,174,879
Athyrium filix-femina var angustum,78,389
Athyrium filix-femina var angustum,100,186
Athyrium filix-femina var angustum,100,186
Athyrium filix-femina var angustum,17,282
Athyrium filix-femina var angustum,5,636
Athyrium filix-femina var angustum,59,501
Athyrium filix-femina var angustum,60,448
Athyrium filix-femina var angustum,64,427
Athyrium filix-femina var angustum,61,401
Athyrium filix-femina var angustum,43,402
Athyrium filix-femina var angustum,38,405
Athyrium filix-femina var angustum,42,623
Athyrium filix-femina var angustum,9,432
Athyrium filix-femina var angustum,-4,629
Athyrium filix-femina var angustum,12,528
Athyrium filix-femina var angustum,11,530
Athyrium filix-femina var angustum,11,537
Athyrium filix-femina var angustum,11,530
Athyrium filix-femina var angustum,74,484
Athyrium filix-femina var angustum,74,484
Athyrium filix-femina var angustum,74,484
Athyrium filix-femina var angustum,14,501
Athyrium filix-femina var angustum,161,816
Athyrium filix-femina var angustum,201,860
Athyrium filix-femina var angustum,35,539
Athyrium filix-femina var angustum,51,644
Athyrium filix-femina var angustum,150,1045
Athyrium filix-femina var angustum,21,537
Athyrium filix-femina var angustum,29,630
Athyrium filix-femina var angustum,41,594
Athyrium filix-femina var angustum,47,667
Athyrium filix-femina var angustum,48,597
Athyrium filix-femina var angustum,48,598
Athyrium filix-femina var angustum,62,705
Athyrium filix-femina var angustum,72,676
Athyrium filix-femina var angustum,75,639
Athyrium filix-femina var angustum,192,1175
Athyrium filix-femina var angustum,4,607
Athyrium filix-femina var angustum,42,645
Athyrium filix-femina var angustum,41,671
Athyrium filix-femina var angustum,54,670
Athyrium filix-femina var angustum,55,684
